"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 10 11:56:09 CST 2020","Fri Jul 10 11:56:09 CST 2020","0","testcases","test_func","Test_Pytest","","","test_add[1-1-2]",""
"passed","Fri Jul 10 11:56:09 CST 2020","Fri Jul 10 11:56:09 CST 2020","0","testcases","test_func","Test_Pytest","","","test_sub[10-1-9]",""
"passed","Fri Jul 10 11:56:09 CST 2020","Fri Jul 10 11:56:09 CST 2020","0","testcases","test_func","Test_Pytest","","","test_mult[4-8-32]",""
"passed","Fri Jul 10 11:56:09 CST 2020","Fri Jul 10 11:56:09 CST 2020","0","testcases","test_func","Test_Pytest","","","test_add[2-2-4]",""
"failed","Fri Jul 10 11:56:09 CST 2020","Fri Jul 10 11:56:09 CST 2020","0","testcases","test_func","Test_Pytest","","","test_sub[14-8-9]",""
"failed","Fri Jul 10 11:56:09 CST 2020","Fri Jul 10 11:56:09 CST 2020","0","testcases","test_func","Test_Pytest","","","test_mult[2-8-14]",""
"passed","Fri Jul 10 11:56:09 CST 2020","Fri Jul 10 11:56:09 CST 2020","0","testcases","test_func","Test_Pytest","","","test_sub[12-2-10]",""
"failed","Fri Jul 10 11:56:09 CST 2020","Fri Jul 10 11:56:09 CST 2020","1","testcases","test_func","Test_Pytest","","","test_add[4-8-9]",""
"passed","Fri Jul 10 11:56:09 CST 2020","Fri Jul 10 11:56:09 CST 2020","0","testcases","test_func","Test_Pytest","","","test_div[14-7-2]",""
"passed","Fri Jul 10 11:56:09 CST 2020","Fri Jul 10 11:56:09 CST 2020","1","testcases","test_func","Test_Pytest","","","test_mult[3-10-30]",""
"passed","Fri Jul 10 11:56:09 CST 2020","Fri Jul 10 11:56:09 CST 2020","0","testcases","test_func","Test_Pytest","","","test_div[20-2-10]",""
"passed","Fri Jul 10 11:56:09 CST 2020","Fri Jul 10 11:56:09 CST 2020","1","testcases","test_func","Test_Pytest","","","test_div[15-3-5]",""
